games_played,elapsed_time,games_per_sec,avg_score,recent_avg_score,recent_std_score,win_rate,recent_win_rate,avg_loss,recent_loss,epsilon,empty_board_value,embedding_mean,embedding_std,embedding_norm,max_tile_512,max_tile_256,max_tile_128
1700,181.44680905342102,9.369136932573397,381.6949703659401,385.2726887210297,139.04335619489498,0.0,0.0,8.227336229997523,8.216202363967895,0.09406,1.9923938512802124,0.018028393387794495,0.9484991431236267,30.342636108398438,19,357,485
1800,192.32527208328247,9.359144435373773,382.07307346031945,386.96525289151975,138.34212179643202,0.0,0.0,8.235735532972548,8.222243103981018,0.0937,2.048351764678955,0.018033044412732124,0.9484986662864685,30.342622756958008,20,355,497
1900,202.72829413414001,9.372150089433593,381.0594053010469,386.8125245194037,136.18687777244958,0.0,0.0,8.239021148179706,8.233139452934266,0.09334,2.116556167602539,0.018037905916571617,0.9484980702400208,30.342607498168945,18,354,506
2000,213.11787104606628,9.38447813026291,380.6777418333599,383.3654080299642,134.39406632336772,0.0,0.0,8.209999239444732,8.185752081871033,0.09298000000000001,2.2260828018188477,0.01804276369512081,0.9484974145889282,30.342592239379883,15,344,515
2100,223.2253611087799,9.407533219205543,379.5482168877285,382.87996521299004,134.5170342809714,0.0,0.0,8.221505725951422,8.246645283699035,0.09262000000000001,2.277129650115967,0.018047820776700974,0.94849693775177,30.342578887939453,14,346,513
2200,234.4047520160675,9.385475256274663,380.4208787352551,383.8594710496908,135.53652892966352,0.0,0.0,8.232606675408103,8.248902373313904,0.09226000000000001,2.360217332839966,0.01805291697382927,0.9484966993331909,30.342573165893555,16,346,510
2300,245.2413830757141,9.378515041606637,380.75083479913314,385.0583626970557,137.10328440965566,0.0,0.0,8.228539945768274,8.25537103176117,0.09190000000000001,2.428236246109009,0.01805814728140831,0.9484965205192566,30.342571258544922,18,347,510
2400,255.94952201843262,9.376848923465309,380.51445115579276,382.15359940749806,135.67845344381607,0.0,0.0,8.236290206511816,8.272609481811523,0.09154000000000001,2.495388984680176,0.01806352660059929,0.948496401309967,30.34256935119629,16,343,517
2500,267.0697159767151,9.360851681955458,381.2108356273526,381.85961137800734,132.84280343677898,0.0,0.0,8.233515872955323,8.25877103805542,0.09118000000000001,2.579436779022217,0.018068935722112656,0.9484961628913879,30.342565536499023,15,339,527
2600,277.62977504730225,9.364989758598533,381.02150646319046,378.99429467467195,131.4259915939812,0.0,0.0,8.233676257500282,8.211444854736328,0.09082000000000001,2.635561943054199,0.018074464052915573,0.9484958052635193,30.342557907104492,13,333,532
2700,288.57834696769714,9.35621133176091,380.8600699950215,379.4407393644599,128.8526919950045,0.0,0.0,8.230954399815312,8.237105288505553,0.09046,2.6554946899414062,0.018080109730362892,0.9484957456588745,30.342559814453125,10,347,524
2800,299.1521210670471,9.359786552783468,380.74371235468857,378.35086236455305,128.2978635990621,0.0,0.0,8.22272720847811,8.199312224388123,0.0901,2.741464614868164,0.01808592677116394,0.9484957456588745,30.34256362915039,8,344,525
2900,309.54094886779785,9.36871199305706,380.3771505006565,379.0808663799146,129.09753313443045,0.0,0.0,8.224455167507303,8.196779804229736,0.08974,2.8178765773773193,0.018091749399900436,0.9484958648681641,30.34256935119629,9,346,518
3000,319.51481103897095,9.38923610534628,379.528610806656,377.23034875324817,129.3252953544894,0.0,0.0,8.227630324363709,8.26289249420166,0.08938,2.880256414413452,0.018097616732120514,0.9484957456588745,30.34256935119629,9,344,514
3100,329.3380949497223,9.412819371756113,378.58614992936106,376.5658093167895,129.64143452206486,0.0,0.0,8.235508283492058,8.264913654327392,0.08902,2.9644293785095215,0.018103498965501785,0.9484955668449402,30.34256935119629,9,341,512
3200,339.9313838481903,9.413664498330302,378.72122835071,374.9819975047109,129.4390684689947,0.0,0.0,8.227539873123169,8.216392908096314,0.08866,2.9785094261169434,0.018109247088432312,0.9484956860542297,30.34257698059082,9,333,520
3300,349.85310196876526,9.43253034324853,377.9861571899967,371.62739868898285,127.45880524214338,0.0,0.0,8.220820942792026,8.203067235946655,0.0883,3.053117275238037,0.018115103244781494,0.9484956860542297,30.342578887939453,7,325,525
